gene,process,HCT116-21-3-c1,HCT116-21-3-c3,HCT116-5-4-p,HCT116-5-4,HCT116-8-3-c3,HCT116-8-3-c4,RPE-21-3-c1-p,RPE-21-3-c1,RPE-21-3-c2,RPE-5-3-12-3-p,RPE-5-3-12-3
AADAT,Amino Acid Metabolism,-0.0599783,0.0810132,,-0.596105,-0.247831,-0.264136,,0.102439,-0.142234,,-0.44913
AARS2,Translation,0.214702,0.212297,-0.439279,-0.504554,0.0488174,-0.11043,-0.042084,0.0185488,0.120572,0.052895,-0.201943
AASS,Amino Acid Metabolism,-0.381262,-0.286549,,-0.259627,-0.346338,0.00872609,-0.172872,-0.24714,-0.768665,0.696096,0.599117
ABAT,Amino Acid Metabolism,-0.140523,-0.351991,,0.355306,-0.432446,-0.352786,,,,,
ABCA12,Transmembrane Transport,0.752692,0.431612,,-3.64455,,,,,,,
ABCA9,Transmembrane Transport,,,,,,,,,,,
ABCB10,Import & Sorting,0.0017278,0.0669497,-0.161702,-0.141714,0.0556677,0.0665759,,-0.103327,-0.124289,,-0.469188
ABCB6,Import & Sorting,-0.350362,-0.123569,0.689465,0.729278,-0.288254,0.00694902,0.49879,0.306142,0.521433,-1.13998,-0.425522
ABCB7,Import & Sorting,0.422421,-0.0275371,0.25084,-0.160848,-0.0765932,-0.0947116,,0.024532,-0.193375,,0.213076
ABCB8,Import & Sorting,0.149486,0.100502,,0.628183,0.107486,0.0012427,,-0.279104,0.247622,0.377876,0.018826
ABCD1,Metabolism of Lipids & Lipoproteins,-0.0748802,-0.15426,-1.09376,0.0711188,-0.113596,0.689526,,0.184937,1.0691,,-0.934746
ABCD2,Metabolism of Lipids & Lipoproteins,,,,,,,,,,,
ABCD3,Metabolism of Lipids & Lipoproteins,-0.335805,-0.307729,0.721504,0.172296,-0.00540739,0.0608841,0.242431,0.00169981,-0.0859155,0.160879,-0.101506
ABCE1,Transmembrane Transport,0.165252,0.0276352,-1.35178,-1.58979,0.0510901,-0.188346,-0.302641,-0.0330772,-0.418982,-0.112633,-0.222439
ABCF2,Import & Sorting,0.119122,-0.00995268,-0.561849,-0.113317,0.156515,-0.00718432,-0.431997,-0.108669,-0.0741382,-0.263034,0.0177968
ACAA2,Amino Acid Metabolism,-0.180781,-0.41492,-1.5741,-0.758938,-0.280509,-0.0368519,0.525683,0.0574275,0.0518621,-0.477885,-0.991082
